client,gender,amount,card,retail_service,country,timestamp
Sonya Purchall,Female,"€45,71",mastercard,Health,Brazil,7:41:04
Karmen Bronger,Female,"€83,70",americanexpress,Health,Portugal,17:43:16
Burch Liddon,Male,"€96,43",mastercard,Jewelry,Portugal,23:46:40
Tannie Burdass,Male,"€34,86",mastercard,Kids,Germany,14:30:19
Antoni Pashen,Male,"€20,33",mastercard,Grocery,Brazil,10:46:38
Tybalt Sperry,Male,"€64,47",mastercard,Games,Brazil,15:28:46
Brenna Dunnet,Female,"€40,91",visa,Movies,Portugal,0:51:56
Koo Neary,Female,"€9,54",americanexpress,Kids,Portugal,16:09:39
Sig Stonier,Male,"€55,66",visa,Sports,Brazil,16:17:40
Ferrel Patillo,Male,"€56,81",americanexpress,Grocery,Brazil,18:04:13
Camey Wixon,Male,"€61,13",americanexpress,Clothing,Portugal,17:06:18
Kristan Domange,Female,"€14,11",mastercard,Home,Brazil,20:48:28
Briant Betonia,Male,"€31,80",visa,Garden,France,22:04:12
Ellissa Rosenfeld,Female,"€43,96",visa,Electronics,France,6:27:06
Sal Auletta,Male,"€26,95",visa,Beauty,Portugal,1:32:25
Harrison Di Biaggi,Male,"€3,90",visa,Computers,Brazil,2:50:50
Ximenes Bolzmann,Male,"€30,64",americanexpress,Movies,Argentina,8:04:14
Bathsheba Josse,Female,"€42,43",americanexpress,Beauty,Brazil,16:33:45
Ferrell Walduck,Male,"€16,89",mastercard,Outdoors,Portugal,7:53:40
Catlaina Colt,Female,"€93,43",americanexpress,Clothing,Argentina,16:45:47
Dasie Croal,Bigender,"€42,20",visa,Books,Argentina,10:40:16
Halimeda Noblet,Female,"€71,37",visa,Games,France,8:35:46
Ranee Shimmings,Female,"€10,09",americanexpress,Books,Brazil,11:16:22
Wilmer Hulle,Male,"€41,90",visa,Computers,Portugal,2:27:36
Maxine Hindenburg,Female,"€82,85",visa,Jewelry,Brazil,21:30:12
Vera Lomaz,Female,"€52,49",americanexpress,Home,France,0:43:05
Zea Shout,Female,"€47,90",mastercard,Automotive,Brazil,12:01:36
Buiron Bann,Male,"€40,82",mastercard,Music,Argentina,11:58:30
Constance Kellett,Female,"€32,55",visa,Garden,France,7:43:29
Charlene Drought,Female,"€86,34",visa,Clothing,Portugal,17:00:14
Alisun Harnes,Female,"€93,26",americanexpress,Movies,Brazil,7:34:40
Marc Malatalant,Male,"€42,29",mastercard,Home,Brazil,4:10:47
Elton Cleal,Male,"€51,35",visa,Games,Germany,5:18:59
Wainwright Chant,Male,"€54,96",visa,Jewelry,Brazil,21:09:52
Valdemar MacInherney,Male,"€78,82",mastercard,Shoes,Portugal,20:23:04
Penelopa Bellwood,Genderqueer,"€50,96",americanexpress,Beauty,Portugal,17:10:05
Addie Javes,Bigender,"€1,78",mastercard,Outdoors,Portugal,11:54:23
Wyn Cronk,Male,"€34,15",visa,Toys,France,15:09:02
Graeme Nutbeem,Male,"€61,47",visa,Health,Brazil,19:33:32
Starlin Skipping,Female,"€90,45",mastercard,Clothing,Portugal,2:42:45
Melinda Couling,Female,"€71,97",visa,Movies,Brazil,17:03:32
Heath Bartels-Ellis,Female,"€18,49",americanexpress,Sports,France,20:08:37
Adolphe Smelley,Male,"€30,74",visa,Tools,Brazil,1:39:30
Mela Sudddard,Female,"€6,39",americanexpress,Shoes,Brazil,20:18:10
Karlene Caslett,Female,"€37,69",visa,Garden,Brazil,14:59:09
Florette Hayball,Female,"€35,20",americanexpress,Jewelry,Portugal,4:24:57
Elmo Bikker,Male,"€64,95",americanexpress,Computers,Portugal,1:20:07
Frank Delion,Agender,"€99,97",mastercard,Movies,Germany,20:02:16
Robby Briston,Female,"€62,78",visa,Health,Spain,2:42:41
Zackariah Petroulis,Agender,"€35,50",mastercard,Sports,Brazil,16:35:23
Simone Youens,Male,"€60,83",visa,Games,France,19:35:35
Alia Baumert,Female,"€3,63",americanexpress,Industrial,Argentina,1:51:15
Adler Pensom,Male,"€29,85",visa,Movies,Argentina,0:14:43
Rozalin Hebbard,Female,"€56,07",mastercard,Games,Brazil,18:04:04
Myrtice Dominique,Female,"€14,76",visa,Games,Brazil,12:02:21
Lorie Scoates,Female,"€35,77",visa,Beauty,Portugal,12:10:07
Tucky Woolis,Male,"€51,75",americanexpress,Sports,France,22:38:50
Sheffield Morrad,Bigender,"€86,57",visa,Toys,Portugal,12:27:49
Rafaello Cowthard,Male,"€71,93",mastercard,Home,France,4:10:37
Perla Rainbird,Female,"€31,53",americanexpress,Clothing,Spain,7:10:42
Cloe McGiffie,Female,"€54,88",visa,Books,Argentina,5:24:02
Clementius Semeradova,Male,"€2,54",visa,Shoes,France,21:40:41
Muhammad Millimoe,Male,"€9,77",mastercard,Garden,Portugal,22:26:25
Vinnie Machon,Male,"€21,41",mastercard,Industrial,Portugal,16:08:01
Hugues Lewsie,Male,"€16,66",mastercard,Garden,Brazil,1:07:12
Daffie Pattinson,Female,"€86,58",visa,Movies,Brazil,19:08:43
Caprice Offord,Female,"€8,15",visa,Outdoors,France,9:26:06
Edmon Button,Male,"€8,55",americanexpress,Outdoors,Germany,18:49:54
Ruby Bursnall,Female,"€58,40",americanexpress,Electronics,Portugal,15:45:48
Rheta Pidgeley,Female,"€28,31",mastercard,Baby,Brazil,15:28:55
Garret Angless,Male,"€5,67",americanexpress,Outdoors,Brazil,4:37:20
Blakelee Laidlaw,Female,"€17,35",americanexpress,Tools,Portugal,6:11:00
Bryanty Lemmanbie,Male,"€29,57",mastercard,Grocery,France,2:35:55
Doy MacAfee,Male,"€66,25",visa,Shoes,France,15:08:26
Sharl Firpi,Female,"€48,03",americanexpress,Shoes,Argentina,23:36:24
Archibald Pagelsen,Male,"€27,16",visa,Jewelry,Brazil,1:01:12
Georgine Marshall,Female,"€2,38",visa,Sports,France,23:34:42
Jock Kettley,Male,"€89,56",mastercard,Electronics,Brazil,18:17:04
Nye Brosini,Male,"€8,42",americanexpress,Industrial,Portugal,0:27:23
Carlin Dorin,Male,"€20,89",americanexpress,Baby,Brazil,8:43:57
Meryl Nield,Male,"€34,99",visa,Health,France,15:35:02
Ches Tennick,Male,"€50,41",mastercard,Jewelry,France,2:06:02
Lou Lefley,Male,"€20,50",mastercard,Electronics,France,3:53:22
Sondra Storek,Female,"€80,74",americanexpress,Garden,Spain,12:44:53
Bertram Gherarducci,Male,"€52,84",mastercard,Books,France,10:50:35
Wilden Lenney,Male,"€50,85",visa,Movies,Brazil,15:01:45
Anatollo Bauduin,Male,"€88,15",visa,Grocery,Argentina,20:27:59
Tammy Stears,Female,"€67,95",mastercard,Books,France,15:52:22
Rudy Maleck,Male,"€86,54",mastercard,Books,Portugal,13:16:19
Richmond Guiduzzi,Bigender,"€82,12",visa,Toys,Portugal,4:32:28
Cele Durkin,Female,"€12,99",americanexpress,Home,Argentina,13:54:16
Christabella Nutbeam,Female,"€76,36",visa,Kids,France,15:12:12
Vincenz Ellson,Male,"€93,46",mastercard,Music,Portugal,19:16:46
Wallas Fairholme,Male,"€4,64",mastercard,Jewelry,Portugal,5:11:01
Eustacia Feather,Female,"€47,59",visa,Movies,France,2:21:51
Ally McGlaughn,Non-binary,"€41,17",mastercard,Industrial,Brazil,13:12:15
Shena Jaan,Genderfluid,"€87,80",americanexpress,Books,Portugal,23:12:37
Suzanne De Bruyne,Female,"€61,05",visa,Outdoors,Portugal,9:58:13
Leopold Mantrip,Male,"€71,15",visa,Games,Portugal,10:41:26
Basil Baszkiewicz,Male,"€23,96",americanexpress,Automotive,France,9:00:22
Bartlett Thomel,Male,"€38,92",americanexpress,Movies,Germany,4:29:42
Uta Orto,Female,"€34,00",visa,Jewelry,Spain,3:44:22
Abbe Buttler,Male,"€36,27",mastercard,Kids,France,19:54:25
Drusilla Bysh,Female,"€74,23",americanexpress,Movies,France,19:08:26
Lanna Conaboy,Female,"€1,07",americanexpress,Games,Brazil,1:25:38
Archibald Dowell,Male,"€69,29",mastercard,Automotive,Argentina,23:37:08
Albie Skupinski,Male,"€20,93",americanexpress,Sports,Portugal,2:10:47
Eric Stellino,Male,"€97,95",visa,Clothing,France,4:13:00
Ariel Doogan,Genderqueer,"€88,14",visa,Games,Portugal,12:21:36
Lillis Deason,Female,"€15,38",visa,Games,Brazil,21:17:01
Sallyann Cyster,Female,"€70,37",visa,Electronics,France,12:51:24
Corry Jestico,Female,"€48,09",americanexpress,Books,Brazil,15:30:49
Jammal Bernardot,Polygender,"€47,27",mastercard,Kids,Portugal,22:16:20
Krispin Ronisch,Non-binary,"€49,36",visa,Beauty,Argentina,13:35:02
Lemmy Alcalde,Male,"€36,57",visa,Garden,Brazil,15:05:34
Nessi De Andreis,Female,"€86,97",mastercard,Beauty,Brazil,10:14:46
Hussein Frohock,Male,"€79,24",mastercard,Sports,Brazil,4:15:02
Carlin Cleever,Male,"€59,28",mastercard,Home,Portugal,20:48:37
Opalina McInnes,Female,"€33,76",mastercard,Jewelry,Brazil,3:03:26
Nev Durston,Male,"€74,15",mastercard,Baby,Brazil,1:44:50
Chris Royl,Female,"€19,89",visa,Books,Brazil,17:10:37
Gearalt Delort,Male,"€20,59",americanexpress,Health,France,3:28:24
Ray Cordon,Male,"€65,19",americanexpress,Kids,Brazil,15:53:57
Korella Wellbelove,Female,"€93,33",mastercard,Computers,France,9:28:09
Mauricio Saura,Male,"€0,08",visa,Sports,France,4:39:42
Jean Bruckman,Male,"€5,45",mastercard,Toys,Brazil,19:03:19
Katerine Huckel,Female,"€17,44",mastercard,Beauty,Portugal,8:46:26
Gertruda Jurczak,Female,"€33,51",mastercard,Garden,France,16:05:06
Umeko Dudliston,Female,"€96,76",mastercard,Toys,France,22:47:04
Ty Hammell,Male,"€58,62",mastercard,Books,Portugal,15:48:37
Licha Ledward,Female,"€29,60",mastercard,Toys,Brazil,11:58:33
Micki Galiford,Female,"€41,78",mastercard,Shoes,Brazil,20:38:59
Noelle Darwen,Female,"€86,71",visa,Garden,Brazil,3:41:28
Catriona Pieterick,Female,"€78,36",mastercard,Computers,Brazil,0:35:47
Roseanna Joliffe,Female,"€89,67",mastercard,Grocery,France,19:18:05
Ricoriki Nowell,Polygender,"€96,08",mastercard,Grocery,Brazil,15:47:39
Auberon Jeffels,Male,"€93,08",visa,Beauty,Portugal,17:10:00
Lilla Komorowski,Female,"€41,79",americanexpress,Electronics,Brazil,9:51:08
Omar Novotni,Male,"€51,27",mastercard,Clothing,France,10:44:58
Chastity Oscroft,Bigender,"€38,55",mastercard,Home,Brazil,0:46:42
Dorie Stuke,Male,"€64,68",americanexpress,Toys,Brazil,7:00:04
Erek Braban,Male,"€77,77",visa,Shoes,France,10:06:39
Mavis McCartney,Female,"€91,54",visa,Toys,Portugal,20:23:40
Mel Berardt,Male,"€36,61",visa,Tools,Portugal,12:29:37
Vance Darrington,Male,"€31,97",visa,Outdoors,Portugal,1:12:19
Raynard Artois,Male,"€71,04",mastercard,Music,Brazil,3:45:43
Aguie Graeber,Male,"€60,52",mastercard,Industrial,Portugal,11:12:44
Ebba Causier,Female,"€3,75",mastercard,Games,Brazil,23:36:21
Aurilia Letteresse,Agender,"€21,88",americanexpress,Home,Brazil,8:43:43
Tabbitha Waulker,Female,"€91,11",americanexpress,Shoes,Brazil,5:17:09
Jakob Delves,Male,"€14,85",visa,Garden,Portugal,18:22:18
Maridel Hakonsen,Female,"€92,28",mastercard,Grocery,Portugal,11:20:09
Gardiner Huddart,Male,"€85,93",americanexpress,Jewelry,France,21:08:14
Pietrek Youel,Male,"€79,56",americanexpress,Tools,Portugal,4:36:55
Roselin Fawdry,Female,"€48,33",mastercard,Shoes,Brazil,9:16:56
Eziechiele Upham,Male,"€96,61",mastercard,Clothing,Portugal,21:34:05
Joya Malec,Female,"€96,39",mastercard,Garden,Portugal,0:07:31
Margeaux Licas,Female,"€97,49",americanexpress,Outdoors,Portugal,12:58:20
Richart Santer,Male,"€66,87",americanexpress,Music,Brazil,13:08:10
Hamish Lascell,Male,"€97,88",visa,Health,Brazil,11:16:08
Jobie Jecock,Female,"€25,54",visa,Automotive,France,10:18:15
Demetria Orfeur,Female,"€67,93",visa,Garden,France,0:08:21
Barbara Rawle,Female,"€38,58",visa,Baby,France,20:37:36
Celle Boucher,Female,"€7,61",americanexpress,Sports,Brazil,5:39:31
Ricki Bresnahan,Female,"€57,72",visa,Outdoors,France,4:59:25
Phaidra Latore,Female,"€54,54",visa,Garden,Brazil,23:29:23
Joellyn Glasser,Female,"€12,72",visa,Industrial,France,15:25:59
Beale Himsworth,Male,"€9,08",visa,Movies,Argentina,22:26:39
Skyler Norwich,Male,"€28,46",visa,Books,France,19:38:12
Flossi Sturm,Female,"€15,98",americanexpress,Computers,Portugal,1:09:28
Roscoe Sommersett,Male,"€0,33",visa,Jewelry,Portugal,21:14:58
Hailee Pullman,Female,"€91,66",visa,Clothing,France,3:21:59
Johnna Lafferty,Female,"€27,67",mastercard,Computers,Argentina,11:02:27
Roselin Pregel,Female,"€68,46",americanexpress,Automotive,France,4:15:19
Blithe Pittendreigh,Female,"€63,22",visa,Home,Portugal,10:59:45
Adi Heinig,Female,"€29,41",visa,Movies,France,2:46:22
Kalie Byles,Female,"€10,58",americanexpress,Books,Brazil,16:41:17
Ives Roan,Male,"€19,36",visa,Beauty,Portugal,13:58:54
Giffy McCard,Male,"€63,39",visa,Health,Portugal,22:55:57
Lonna Minerdo,Female,"€13,13",mastercard,Grocery,Portugal,10:21:39
Bambi Antos,Female,"€60,52",americanexpress,Kids,Brazil,2:13:11
Randa McCully,Female,"€14,82",visa,Home,Portugal,20:09:42
Nona Haggerston,Female,"€54,62",americanexpress,Movies,Brazil,15:57:35
Orson Guillet,Male,"€39,80",visa,Outdoors,Argentina,15:32:03
Lilli Du Hamel,Female,"€19,27",mastercard,Computers,Brazil,21:37:32
Nonie Antcliffe,Female,"€90,64",mastercard,Home,Brazil,4:02:13
Berthe Drayton,Female,"€4,10",americanexpress,Music,Brazil,19:41:46
Theresita Cauderlie,Female,"€86,40",visa,Home,France,14:46:01
Zaria Scarse,Female,"€90,67",americanexpress,Beauty,Brazil,0:50:29
Friedrick Leheude,Male,"€52,28",visa,Shoes,France,15:39:30
Selia Dei,Agender,"€25,89",americanexpress,Clothing,Portugal,8:08:47
Freeland Kretchmer,Male,"€68,35",americanexpress,Computers,Brazil,22:01:39
Friedrick Parkyns,Male,"€31,34",americanexpress,Automotive,France,6:35:36
Rene Aspel,Male,"€6,06",visa,Books,Portugal,2:15:13
Amye Wetherill,Female,"€98,11",mastercard,Kids,Brazil,8:04:14
Mart Blakey,Male,"€59,37",mastercard,Home,Brazil,10:08:24
Jamaal Peers,Male,"€56,35",visa,Industrial,Germany,10:53:59
Ely Margett,Male,"€9,75",mastercard,Baby,Brazil,23:25:32
Cully Cloute,Male,"€76,31",americanexpress,Games,Germany,10:30:27
Sal McCord,Male,"€51,08",americanexpress,Movies,France,21:01:31
Arv Treverton,Male,"€87,94",mastercard,Games,Argentina,0:32:38
Starlin Gillbey,Female,"€31,37",mastercard,Sports,France,19:21:40
Pablo Tackell,Male,"€13,79",americanexpress,Garden,Portugal,10:50:05
Clarence Dobrowolski,Male,"€0,92",visa,Beauty,Brazil,12:22:31
Chico Hendriksen,Male,"€38,89",visa,Home,Portugal,4:31:08
Theo Kinnin,Male,"€80,47",mastercard,Games,Argentina,5:07:52
Almeta Ogden,Non-binary,"€66,29",visa,Baby,Brazil,17:19:11
Papageno Hordell,Male,"€77,82",americanexpress,Movies,Brazil,3:52:17
Andriana Janeway,Female,"€35,58",mastercard,Books,Portugal,6:20:19
Leyla Korda,Female,"€28,36",visa,Automotive,Brazil,11:14:52
Alison Venning,Female,"€15,20",visa,Beauty,Brazil,0:38:17
Sidnee Tunnoch,Male,"€61,33",visa,Shoes,Portugal,2:18:41
Stanislas Bodicam,Male,"€36,04",visa,Jewelry,Brazil,6:09:00
Cecil Gusney,Female,"€5,62",americanexpress,Tools,Brazil,13:43:05
Serge Jaspar,Male,"€69,86",americanexpress,Health,Brazil,11:44:38
Linda Debell,Female,"€82,89",mastercard,Garden,France,11:08:13
Leupold Hauch,Male,"€14,73",visa,Health,Portugal,9:59:58
Felike North,Male,"€29,03",americanexpress,Sports,France,4:31:24
Tammie Lincey,Male,"€55,70",visa,Beauty,Portugal,23:00:24
Lorelle Chalfant,Female,"€68,89",americanexpress,Shoes,France,19:44:10
Gal Klebes,Male,"€73,02",visa,Home,Brazil,13:02:56
Audie Lampl,Female,"€88,50",americanexpress,Clothing,France,19:22:40
Judith Remington,Female,"€32,99",visa,Shoes,Brazil,20:21:08
Olwen La Rosa,Female,"€77,29",mastercard,Home,France,22:55:50
Rori Bridgewater,Female,"€66,12",visa,Sports,Brazil,12:37:11
Nell Ebbers,Bigender,"€75,79",visa,Garden,Brazil,2:10:17
Pincus Ende,Male,"€36,47",americanexpress,Books,Portugal,16:30:00
Betsey Nowill,Female,"€9,34",americanexpress,Games,France,4:57:03
Donovan Inchley,Male,"€30,69",americanexpress,Home,Brazil,16:06:19
Debby Golds,Non-binary,"€34,67",americanexpress,Grocery,France,7:25:33
Ange Whittuck,Male,"€8,01",mastercard,Toys,France,0:29:44
Jamesy Mallon,Genderqueer,"€64,57",visa,Garden,Brazil,17:38:59
Kynthia Holehouse,Female,"€66,38",visa,Music,Portugal,10:48:52
Katey Shera,Female,"€76,73",visa,Shoes,Brazil,23:07:29
Oliy Devons,Female,"€23,53",americanexpress,Sports,Brazil,23:09:09
Coretta Callear,Female,"€69,95",americanexpress,Clothing,France,5:54:07
Launce Coade,Male,"€66,81",americanexpress,Toys,France,16:13:41
Benedicto Langlands,Male,"€7,73",mastercard,Computers,Argentina,10:07:27
Enrico Klimaszewski,Male,"€97,09",mastercard,Automotive,Brazil,6:49:16
Rob Runnalls,Male,"€61,52",mastercard,Beauty,Portugal,21:38:20
Tobit Auger,Male,"€53,95",americanexpress,Toys,Argentina,0:10:48
Pen McCloy,Male,"€85,44",mastercard,Garden,Portugal,18:43:11
Bendicty Hurdwell,Male,"€70,72",mastercard,Books,Brazil,15:29:06
Arvy Highnam,Male,"€83,40",americanexpress,Garden,Portugal,10:51:57
Hew Chaffey,Male,"€88,47",mastercard,Books,France,1:53:49
Vivi Clowley,Female,"€31,17",americanexpress,Sports,Portugal,4:12:35
Karlotta Epple,Female,"€69,26",mastercard,Computers,Argentina,18:01:34
Thebault Gertz,Male,"€86,26",americanexpress,Electronics,Brazil,6:58:00
Lauree MacIntosh,Female,"€76,43",visa,Jewelry,France,13:57:53
Giulio Sones,Male,"€22,19",mastercard,Automotive,France,18:36:26
Lindsay Woffenden,Female,"€38,00",visa,Toys,Brazil,15:19:45
Coralie Delahunt,Female,"€19,52",americanexpress,Automotive,Brazil,0:59:11
Stevena Palmer,Female,"€86,48",visa,Sports,France,0:42:10
Adolpho Broxton,Male,"€51,47",visa,Jewelry,Brazil,3:30:06
Twyla Uzelli,Female,"€19,00",visa,Shoes,Brazil,0:09:24
Prudence Archibould,Female,"€45,77",americanexpress,Electronics,Portugal,18:09:59
Ellery Ismead,Male,"€96,20",americanexpress,Toys,France,16:33:31
Zebulen Whewill,Male,"€13,17",visa,Garden,Portugal,21:27:12
Calhoun Winterton,Male,"€76,63",americanexpress,Health,France,8:51:18
Noak Gilardoni,Male,"€29,13",americanexpress,Home,France,7:31:59
Ric Wennington,Male,"€17,99",americanexpress,Baby,Portugal,8:08:24
Shandy Stolte,Genderfluid,"€47,95",mastercard,Health,Brazil,9:48:14
Brandice Dunsleve,Female,"€49,72",mastercard,Tools,Portugal,12:35:45
Parke Crandon,Male,"€19,85",mastercard,Toys,Germany,2:07:55
Jerrold Ruffell,Male,"€42,61",mastercard,Health,Brazil,7:50:15
Colette Trevascus,Female,"€44,08",mastercard,Music,Brazil,16:06:56
Isador Luna,Male,"€29,31",visa,Games,France,4:53:57
Christian Moquin,Male,"€96,70",visa,Garden,France,4:09:20
Bogart Halpine,Male,"€17,49",visa,Beauty,Portugal,17:41:51
Domenico Blowfield,Male,"€67,15",mastercard,Kids,Argentina,2:57:33
Kristal Jeavon,Female,"€75,79",mastercard,Outdoors,Brazil,0:52:17
Tadeas Baggs,Male,"€35,12",americanexpress,Music,Brazil,9:32:06
Sophia Duffrie,Female,"€11,84",visa,Outdoors,Brazil,16:48:37
Bev Bartolomeoni,Male,"€13,72",mastercard,Industrial,France,16:00:41
Thaine Veighey,Bigender,"€6,71",visa,Sports,Brazil,8:35:30
Clayborne Drillot,Male,"€89,89",mastercard,Electronics,France,12:11:07
Ofilia Giannoni,Female,"€8,01",americanexpress,Tools,France,22:36:07
Urban Elwill,Male,"€71,42",mastercard,Automotive,Portugal,12:57:31
Taryn Carnihan,Bigender,"€68,13",americanexpress,Home,Brazil,12:44:49
Jody Dundin,Female,"€50,28",visa,Music,Portugal,17:48:23
Beaufort Blew,Male,"€96,70",visa,Automotive,Brazil,6:29:36
Mable Osgerby,Female,"€23,85",americanexpress,Health,Brazil,18:21:02
Dawna Yves,Female,"€96,50",americanexpress,Baby,Portugal,7:26:32
Stacie Sabater,Female,"€66,68",mastercard,Electronics,Brazil,13:37:46
Morton Bremmer,Genderqueer,"€21,82",americanexpress,Baby,Portugal,19:59:57
Juliane Ferraretto,Female,"€49,60",visa,Clothing,Portugal,2:17:26
Garwin Lead,Male,"€38,47",visa,Outdoors,Portugal,2:10:33
Ravi Cess,Male,"€33,04",mastercard,Garden,Brazil,21:35:37
Maurizio Klulicek,Male,"€45,32",visa,Grocery,Germany,14:31:10
Bibbie Lavrick,Female,"€38,03",visa,Clothing,Brazil,2:33:52
Elianora Grass,Female,"€44,72",visa,Clothing,Brazil,15:07:10
Sherri Tatlow,Female,"€44,92",americanexpress,Movies,Spain,15:39:24
Augustin Drake,Male,"€9,41",americanexpress,Grocery,Brazil,15:05:59
Vern Leathe,Male,"€62,52",americanexpress,Music,France,0:28:51
Miller Arnli,Agender,"€42,91",americanexpress,Industrial,Spain,20:25:02
Avie Pellington,Female,"€61,13",visa,Music,Germany,14:31:50
Karla Szubert,Female,"€51,83",americanexpress,Sports,Portugal,21:39:44
Leroy Franckton,Male,"€20,45",visa,Music,Brazil,13:38:14
Arda Birkmyr,Female,"€51,37",americanexpress,Home,Brazil,0:24:40
Laraine Measor,Female,"€78,42",visa,Music,France,6:55:25
Kelley Desaur,Female,"€88,35",mastercard,Health,France,5:42:30
Priscella Isaksen,Female,"€30,76",visa,Tools,France,3:27:55
Rubin Hintze,Male,"€15,90",visa,Home,Portugal,2:12:05
Caril Cruess,Female,"€35,11",mastercard,Games,Portugal,0:52:32
Tyne Kineton,Female,"€68,47",americanexpress,Electronics,Brazil,19:41:22
Christophorus Dayes,Male,"€86,88",mastercard,Sports,France,5:56:11
Aveline Scammonden,Genderqueer,"€27,74",americanexpress,Clothing,Brazil,22:49:21
Abraham Peile,Male,"€41,42",mastercard,Sports,France,13:31:37
Margi de Quincey,Female,"€97,74",visa,Grocery,Argentina,0:20:50
Fredra Russell,Female,"€68,76",mastercard,Clothing,France,12:43:21
Daron Kimble,Male,"€40,61",visa,Shoes,Portugal,1:34:56
Ingeborg Biddy,Female,"€56,87",mastercard,Baby,Argentina,13:13:23
Port Petrasso,Male,"€63,25",americanexpress,Clothing,Brazil,7:20:54
Alano Chewter,Male,"€60,52",mastercard,Garden,Portugal,9:29:35
Silvio Chimenti,Male,"€28,85",visa,Sports,France,19:06:20
Berta Charlewood,Female,"€86,23",americanexpress,Tools,France,16:30:06
Judah Baglan,Male,"€28,11",visa,Computers,Brazil,19:39:57
Isabelita Balaisot,Female,"€53,05",visa,Automotive,Brazil,22:56:55
Aeriell Friedenbach,Female,"€50,53",visa,Garden,France,6:06:49
Britt Smallpiece,Female,"€37,51",americanexpress,Jewelry,Portugal,6:32:27
Antony Hornbuckle,Male,"€8,34",americanexpress,Electronics,France,0:55:42
Laurianne Scotts,Genderqueer,"€59,78",visa,Grocery,Brazil,13:36:43
Nikolaus Sealove,Male,"€34,25",mastercard,Music,France,17:34:18
Aila Sudlow,Female,"€26,17",visa,Books,Brazil,21:44:57
Beniamino Polsin,Male,"€65,49",visa,Kids,France,21:46:28
Rozina Nice,Female,"€23,26",mastercard,Books,Brazil,1:44:40
Dita Roxbrough,Female,"€54,82",visa,Health,France,3:21:37
Tobe Ridehalgh,Male,"€15,07",mastercard,Books,France,1:21:38
Eachelle Marjanovic,Agender,"€16,95",visa,Home,France,23:44:40
Cyrille Spear,Male,"€93,45",mastercard,Electronics,France,18:02:31
Cam Ritmeier,Male,"€29,32",visa,Baby,Brazil,9:19:49
Ferdie Revel,Male,"€36,20",mastercard,Books,Brazil,11:32:24
Lucais Roff,Male,"€90,67",visa,Industrial,Brazil,23:38:28
Roseann Cruwys,Female,"€6,48",americanexpress,Tools,Argentina,11:20:41
Sydney Firsby,Female,"€27,77",americanexpress,Books,France,7:59:43
